country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-01-2026 21:00:00",25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-01-2026 21:00:00",25.892357,86.590325,CO,38,44,42
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-01-2026 21:00:00",24.952822,84.002396,PM10,NA,NA,NA
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-01-2026 21:00:00",28.699793,77.165453,PM2.5,223,362,322
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-01-2026 21:00:00",28.699793,77.165453,CO,38,90,56
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-01-2026 21:00:00",28.699793,77.165453,OZONE,10,101,15
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","28-01-2026 21:00:00",23.107969,72.574648,SO2,2,70,17
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","28-01-2026 21:00:00",23.107969,72.574648,CO,12,78,50
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","28-01-2026 21:00:00",22.977134,72.553024,NO2,45,135,77
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","28-01-2026 21:00:00",22.977134,72.553024,NH3,5,21,10
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","28-01-2026 21:00:00",23.002657,72.591912,CO,8,36,23
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","28-01-2026 21:00:00",23.002657,72.591912,OZONE,38,82,66
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","28-01-2026 21:00:00",23.020509,72.579261,PM10,97,143,118
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-01-2026 21:00:00",28.732528,77.119920,PM10,133,289,175
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-01-2026 21:00:00",28.6514781,77.1473105,NH3,12,18,14
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","28-01-2026 21:00:00",28.5504249,77.2159377,PM2.5,151,362,295
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.710508,77.249485,NH3,9,11,10
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.710508,77.249485,SO2,8,44,13
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","28-01-2026 21:00:00",28.531346,77.190156,SO2,9,11,10
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.672342,77.315260,PM10,80,284,176
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","28-01-2026 21:00:00",28.672342,77.315260,NH3,7,13,10
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-01-2026 21:00:00",28.611281,77.237738,PM2.5,130,334,251
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-01-2026 21:00:00",28.611281,77.237738,NO2,29,111,68
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-01-2026 21:00:00",28.611281,77.237738,CO,65,106,82
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-01-2026 21:00:00",28.636429,77.201067,PM2.5,22,342,172
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-01-2026 21:00:00",28.636429,77.201067,NO2,62,92,76
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-01-2026 21:00:00",28.636429,77.201067,NH3,4,10,6
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-01-2026 21:00:00",28.636429,77.201067,CO,57,101,79
India,Delhi,Delhi,"Mundka, Delhi - DPCC","28-01-2026 21:00:00",28.684678,77.076574,NH3,11,14,13
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","28-01-2026 21:00:00",28.60909,77.0325413,NO2,40,66,56
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-01-2026 21:00:00",28.570173,76.933762,PM2.5,230,334,282
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-01-2026 21:00:00",28.570173,76.933762,NO2,29,87,62
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-01-2026 21:00:00",28.570173,76.933762,NH3,11,14,12
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-01-2026 21:00:00",28.822836,77.101981,PM2.5,168,333,267
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-01-2026 21:00:00",28.822836,77.101981,NO2,16,51,22
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","28-01-2026 21:00:00",28.6573814,77.1585447,PM10,102,248,158
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-01-2026 21:00:00",28.623763,77.287209,PM10,92,251,149
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-01-2026 21:00:00",28.674045,77.131023,NO2,31,54,39
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-01-2026 21:00:00",28.674045,77.131023,SO2,14,21,17
India,Delhi,Delhi,"Pusa, Delhi - IMD","28-01-2026 21:00:00",28.636110,77.173332,CO,98,112,106
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","28-01-2026 21:00:00",28.563262,77.186937,PM2.5,133,395,303
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","28-01-2026 21:00:00",28.542460,77.191651,CO,31,95,55
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-01-2026 21:00:00",28.628624,77.241060,CO,40,105,61
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-01-2026 21:00:00",28.732820,77.170633,NO2,105,148,119
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-01-2026 21:00:00",28.732820,77.170633,CO,40,100,70
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-01-2026 21:00:00",28.580280,77.233829,NO2,36,90,57
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","28-01-2026 21:00:00",23.023389,72.515201,NO2,5,34,10
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","28-01-2026 21:00:00",23.023389,72.515201,SO2,4,62,17
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","28-01-2026 21:00:00",23.076793,72.627874,CO,8,94,30
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","28-01-2026 21:00:00",21.613267,73.010555,NO2,20,28,25
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","28-01-2026 21:00:00",21.613267,73.010555,SO2,22,36,31
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","28-01-2026 21:00:00",28.5710274,77.0719006,PM2.5,260,357,319
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","28-01-2026 21:00:00",28.5627763,77.1180053,NO2,49,76,58
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","28-01-2026 21:00:00",23.016834,72.625775,PM2.5,48,103,71
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","28-01-2026 21:00:00",23.016834,72.625775,CO,1,148,54
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","28-01-2026 21:00:00",21.755417,72.139056,PM2.5,42,145,80
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","28-01-2026 21:00:00",21.755417,72.139056,PM10,68,143,99
